"distance","same"
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,0
3.12136369447993,1
3.65402780634505,1
3.71996951080312,1
4.70014483833502,1
5.06091824884741,1
5.11177420775868,1
5.12866560118644,1
5.18865551223343,1
5.24155135273279,1
5.59659566914654,1
5.59659566914654,1
5.87417152884537,0
5.95893805004067,0
5.98220626813007,1
6.31323967296561,1
6.73510659333346,1
6.78053801928825,1
6.78053801928825,1
7.30543015248583,1
7.47375756368679,1
7.59647210103371,0
7.75103319563986,0
7.75103319563986,1
7.89374622433144,1
7.97564635656679,1
8.07085632260469,1
8.38088533440158,1
8.3959241314922,1
8.55522419122077,0
8.64193594482027,0
9.19011519234432,1
9.61991354738761,0
10.1093516824308,1
10.4480336442006,1
10.7159230824239,0
10.7305267571007,1
10.7305267571007,1
10.8397491839094,1
10.9013702267421,1
11.4993870825838,0
11.5924224494425,0
11.5924224494425,0
11.7759502594991,1
11.7759502594991,1
11.7923973896159,1
12.1382277178678,1
12.1712916183439,1
12.1768839099394,1
12.1847100652212,1
12.2206499024643,0
12.2349223356005,0
12.2899818189182,0
12.2899818189182,0
12.3344346367155,1
12.5456645146178,0
12.8927057150362,1
12.8961753563054,1
12.9616872704462,1
13.1766097248971,0
13.2198423741875,1
13.2198423741875,1
13.4915483360846,1
13.8157206974634,1
13.9558759804648,0
13.9558759804648,1
14.1186238981897,1
14.150212677434,1
14.150212677434,0
14.1872837008885,1
14.1872837008885,1
14.3958829197897,0
14.3958829197897,1
14.4450883096876,0
14.4620414780014,1
14.6265997817424,0
14.7208860615247,1
14.7244104528896,1
14.7244104528896,1
14.8245323813549,1
14.884466642274,1
14.9394428975352,1
15.0090423335431,1
15.1959361332255,1
15.2109912354498,1
15.2493569772454,1
15.295598932467,1
15.295598932467,1
15.295598932467,1
15.295598932467,1
15.4581199025959,1
15.4581199025959,1
15.4611395749235,1
15.9844702826447,0
16.0262668404294,1
16.0262668404294,1
16.1463998220617,1
16.6927356651897,0
16.7381089313749,0
16.8691405660391,1
16.8704722842354,1
16.8820509579124,0
16.9720914976642,1
16.9878568056311,0
16.989676429707,1
16.989676429707,1
17.0790595749825,0
17.1084410087867,1
17.3987266583124,1
17.4180956095275,1
17.4380805135314,1
17.4835923181825,1
17.5207431970105,1
17.6330221335887,1
17.6504695490566,1
17.6643892403993,1
17.8101575862877,1
18.1469925901049,1
18.1562063286323,0
18.6826994253417,1
18.7498943991186,1
19.2527699368329,1
19.2547521608684,1
19.3244157160922,1
19.3732382625825,1
19.4101573324519,1
19.4884104574521,1
19.5649342556583,0
19.7249747810265,1
19.8509095828444,1
20.1723621618357,1
20.3889679891568,1
20.4117365877154,1
20.45476873395,1
20.4892181130619,1
20.7882770700884,0
20.7937418504463,0
20.9129061448619,1
20.9211311995568,1
21.2956415602831,1
21.5250408931078,1
21.5250408931078,1
21.6815091714413,0
21.8513260084368,0
21.8608094088553,0
22.0647945608926,1
22.2709638994707,1
22.5982982382424,1
22.9048393470929,1
23.9810685727779,1
23.984676834249,1
24.0982107050587,0
24.138436228253,0
24.4440614041635,1
24.6821972794535,1
24.9462036587751,1
25.0042817904788,1
25.1394101778152,1
25.3058507280814,1
25.9503188860896,1
26.0587222340097,1
26.176360006371,1
26.2428186789571,0
26.4959369991017,1
26.5530810250209,0
27.1107733309452,0
27.2753716079644,0
27.2753716079644,1
27.9902833712393,1
28.2393437941733,1
28.2393437941733,1
28.2462304843412,1
28.3561827198154,1
28.6512894803203,1
28.6589453146043,1
28.7359014919276,1
28.8822009799685,0
28.9111596907377,1
28.9820074755658,1
29.0872546930993,1
29.2702198828919,0
29.2702198828919,1
29.8401806110577,1
29.9761407427525,0
30.0012368978449,1
30.223602632558,1
30.3044980894252,1
30.720034712491,0
30.8834500023375,0
30.9057063734101,1
31.4975131110665,0
32.0578009868216,1
32.088798244639,1
32.6983397253465,1
32.9728101998351,1
33.5740301447178,1
33.7193176298833,1
33.9869751537436,1
34.1085052309911,1
34.1590472417353,0
34.1818157497491,0
34.1931839031459,1
34.201374562762,1
34.5345780101813,1
35.0684921367204,1
35.2042252233099,0
35.7190287400939,0
35.906532267772,0
36.1246968410995,0
36.1322590160541,1
36.4564223136267,1
36.5225665352691,1
36.8207191469973,1
36.9407790626746,0
37.4272161495311,1
37.6231113716147,1
37.689483660208,1
37.7102491806868,1
38.0756602635965,1
38.370343429151,1
38.8967132280627,1
39.3902643494622,0
39.3902643494622,1
39.6437288482507,1
39.9538081073869,1
39.9681337238813,1
40.222067619778,0
40.4101368470379,0
40.4819182322258,0
40.4819182322258,0
40.5804346669087,1
40.5804346669087,1
40.7374557862225,0
40.7659073863375,1
41.0704896738198,1
41.2683402095823,1
41.856293346814,0
41.9653328081813,0
42.6113169162671,1
42.713486090725,1
43.4485437663827,1
43.6908246838113,0
43.6908246838113,1
43.7469805115805,1
43.8258792673041,0
43.8674186756529,0
43.9149250420883,1
43.9149250420883,1
44.1877229257302,0
44.3371800325733,0
45.1521392232431,1
45.4635984733412,0
45.8232871077633,0
45.9288036044487,0
45.9288036044487,1
46.9834716224236,1
47.6110035031387,1
48.1334561852577,1
48.313249020396,0
48.5051888459065,0
48.6106866851352,1
48.9029305332807,1
49.2115351011518,0
49.5108970176381,0
49.9292773589828,1
50.1096087703129,1
50.1932402257855,0
50.258294771153,0
50.3050096263901,1
50.4104959484214,0
50.5577336509306,0
50.8008149156621,1
50.9769046351388,0
51.0456774289887,0
51.2716689800749,1
51.6391530426285,1
51.9055766405002,0
52.001148403328,1
52.4789649727356,0
52.6411789780052,1
52.7835822322104,0
53.4015070236303,0
53.5416754758292,0
53.5690151400226,1
54.2290503151477,0
54.2423690808814,1
54.4168625254679,1
55.0658210959075,1
55.1897049100921,1
55.3161173958011,1
55.7295949774483,0
55.8573667586964,1
55.8573667586964,1
56.097495151618,1
56.2188434562282,0
56.4640487308989,0
56.8250785289325,1
57.2240960501471,0
57.2515331825237,0
57.3988463143192,0
58.0729104784864,1
58.1895513096089,1
58.9432379643458,1
58.989329958121,1
59.4289783691982,1
59.756345976359,1
60.9464953917533,0
61.3190842239583,1
61.3611704579156,1
61.3942319619388,1
61.8041946314649,0
61.986444106856,0
62.1327308057045,1
62.1464293567116,1
62.1464293567116,1
62.3087244597183,1
62.7815495927695,1
62.9131411337306,0
63.2193793574364,1
63.4307224156819,1
63.870592694514,1
64.2391191814399,1
64.2391191814399,1
64.6791178893763,1
64.7371009923036,1
64.9856239043266,1
64.9967680353873,1
65.1535872605509,1
65.4475530052215,1
65.5671127433131,1
65.8167853235584,0
65.9328376730709,1
66.1430151642157,1
66.6403870049255,0
66.7161958384886,0
66.8299924721696,1
67.1318973701469,1
67.2244751359089,1
67.3201212289422,1
67.3337489830203,1
67.4209223924233,1
67.6706747337596,1
67.9079256751124,1
68.4073568520874,0
68.4593881480754,1
68.6314839108496,1
69.0273772465165,0
69.4904808244088,1
69.5322053713991,1
69.6700510954125,1
69.6700510954125,1
69.9752835882659,1
70.0805658212608,1
70.1464587106215,1
70.651730833522,1
70.9369550281429,0
70.9896062346507,1
70.9908676707122,0
71.2087783951395,1
71.2667554067893,1
71.5120158423506,1
71.709984916993,1
71.7961665128305,1
72.5077967058834,1
72.8215963460193,0
73.0307191137897,1
73.2339253876806,1
73.4656456456535,1
73.6829192223081,1
73.7836456953221,1
73.8558416245679,0
74.1239380030894,0
74.1939638500621,0
74.2073641975504,0
74.2073641975504,0
74.733139783071,1
74.7362688641365,1
74.7385518474997,1
74.9428181754697,0
75.1765880327162,1
75.4344803552521,0
75.7139948278427,1
76.0978151626358,0
76.22707798713,0
76.22707798713,1
76.3264141781419,0
76.3280910132666,1
76.8026083000619,0
76.8990973619089,1
77.5250714962523,1
77.5639680487834,0
78.6275992273042,1
78.8722066499754,1
78.9329551455294,1
79.0493589515614,0
79.5692948236145,1
79.5970178280452,1
79.8358960334728,1
79.8994443251636,1
80.1544351376662,0
80.3919998318362,1
80.4209119340538,1
80.4565115561783,1
80.4898171782014,1
80.4939628103865,0
80.9551171853292,0
