"distance","probability","n"
14.4808551891387,0.761290322580645,155
36.5169871837667,0.660550458715596,109
63.1664058197521,0.684210526315789,114
87.7092207105263,0.663716814159292,113
113.664819303322,0.821705426356589,129
137.231677716338,0.741258741258741,143
162.771779484269,0.695364238410596,151
187.095605189407,0.706766917293233,133
213.52347749699,0.720930232558139,172
237.375710406354,0.743169398907104,183
263.627041509113,0.715846994535519,183
288.364426027996,0.817142857142857,175
312.590462784332,0.728070175438597,228
337.79495861025,0.739463601532567,261
362.590001756712,0.685064935064935,308
386.924447125725,0.790076335877863,262
412.12735564757,0.821782178217822,303
437.889117898731,0.807570977917981,317
462.17380329364,0.809701492537313,268
487.041039698049,0.746575342465753,292
512.649512526984,0.763578274760383,313
538.285507080237,0.787610619469027,339
561.653575326678,0.705357142857143,336
587.79106987189,0.805860805860806,273
613.169669281387,0.750819672131148,305
637.438094693866,0.747159090909091,352
663.035222033001,0.763779527559055,381
687.23653086493,0.796561604584527,349
712.197452466899,0.76875,320
737.648962048769,0.836879432624113,282
762.541810223419,0.819241982507289,343
787.295170407302,0.798192771084337,332
813.782505370527,0.822222222222222,315
837.880647259497,0.790633608815427,363
861.78771488428,0.721910112359551,356
887.82287251627,0.720588235294118,340
912.110158157942,0.715447154471545,369
937.267287074677,0.806451612903226,372
962.077494874114,0.758152173913043,368
987.369186158008,0.736543909348442,353
1012.20011946876,0.63109756097561,328
1037.15881319077,0.737400530503979,377
1062.3411530773,0.716535433070866,381
1087.5226703155,0.673366834170854,398
1112.09520845067,0.757493188010899,367
1137.03876942897,0.715817694369973,373
1162.88195801452,0.74468085106383,376
1188.16095927366,0.785515320334262,359
1211.93654086854,0.781879194630873,298
1238.28805217045,0.732217573221757,239
1261.78114913089,0.777777777777778,306
1287.68066849026,0.711920529801324,302
1312.42903060529,0.703422053231939,263
1337.17565535406,0.67680608365019,263
1362.29748203211,0.70957095709571,303
1388.03112031932,0.732673267326733,303
1411.79795518821,0.702040816326531,245
1437.22879382057,0.71571906354515,299
1462.87430523761,0.723905723905724,297
1487.61055171328,0.749244712990937,331
1513.02719716683,0.73968253968254,315
1537.57221083511,0.684848484848485,330
1562.79235183503,0.732704402515723,318
1587.4146902227,0.757660167130919,359
1611.92043057001,0.776315789473684,228
1638.0178116796,0.744444444444444,270
1662.24276774432,0.67032967032967,273
1687.52575232338,0.595,200
1712.29688506597,0.745283018867924,212
1736.30162282429,0.682352941176471,170
1762.73048454652,0.651428571428571,175
1787.11003282366,0.664596273291925,161
1811.81156213191,0.666666666666667,144
1836.84796338173,0.641025641025641,195
1862.45867763513,0.728723404255319,188
1887.61603733795,0.669902912621359,206
1911.44033502209,0.617511520737327,217
1937.33101405126,0.734463276836158,177
1963.17677276883,0.66304347826087,184
1986.67755655965,0.64367816091954,174
2012.43504692694,0.651898734177215,158
2036.30230390812,0.6328125,128
2063.19964775507,0.682119205298013,151
2088.156748047,0.75,144
2113.23585808852,0.672268907563025,119
2137.25446113119,0.676829268292683,164
2163.39520013773,0.568306010928962,183
2186.33769876222,0.702247191011236,178
2213.05399886852,0.725609756097561,164
2237.6972129968,0.715976331360947,169
2261.55234317812,0.784313725490196,153
2287.5598975176,0.61046511627907,172
2311.69581016383,0.620689655172414,145
2339.30537284377,0.722627737226277,137
2362.72844492127,0.793103448275862,145
2387.12993437783,0.75,164
2412.92111681688,0.701570680628272,191
2437.10048729155,0.754098360655738,244
2461.18869082242,0.734567901234568,162
2487.22455738494,0.708333333333333,168
2513.0267952683,0.646706586826347,167
2537.3580363632,0.67065868263473,167
2562.68920602913,0.675,120
2587.60421756678,0.669014084507042,142
2613.12680894748,0.76510067114094,149
2636.93306857548,0.709923664122137,131
2663.20605606362,0.704545454545455,132
2686.49277407848,0.716417910447761,134
2714.18313287404,0.642276422764228,123
2737.85491057317,0.699346405228758,153
2762.71375413288,0.701086956521739,184
2787.58721038626,0.701657458563536,181
2812.87555969795,0.701612903225806,124
2838.00583627607,0.617647058823529,102
2862.87678055172,0.73125,160
2887.66691294955,0.705882352941177,153
2911.61417249915,0.652173913043478,161
2937.01780712977,0.693333333333333,150
2963.3873451417,0.729166666666667,144
2986.83224856592,0.716049382716049,162
3012.70430918316,0.743243243243243,148
3037.9557210936,0.715116279069767,172
3062.79647168851,0.711267605633803,142
3087.03460420501,0.776978417266187,139
3112.23104242177,0.695364238410596,151
3136.96624858738,0.670886075949367,158
3161.94033516817,0.666666666666667,135
3186.56588308578,0.752,125
3212.487986143,0.694736842105263,95
3237.69150193785,0.722689075630252,119
3262.96869900235,0.662576687116564,163
3288.01190835435,0.726027397260274,146
3311.73354730707,0.684210526315789,152
3337.91085384092,0.732283464566929,127
3363.31678768496,0.791044776119403,134
3387.35612925841,0.67,200
3413.0003881539,0.751479289940828,169
3435.90413456423,0.70440251572327,159
3462.86340949081,0.74025974025974,154
3486.98346828072,0.748148148148148,135
3510.62279236538,0.743119266055046,109
3536.05527258883,0.703296703296703,91
3562.81914960013,0.712328767123288,73
3589.58520106974,0.747572815533981,103
3612.24451040788,0.756521739130435,115
3635.83518476093,0.834862385321101,109
3663.27953608432,0.757575757575758,132
3686.10300487553,0.65546218487395,119
3712.28691210623,0.641509433962264,106
3737.67464522529,0.644067796610169,118
3761.89965367402,0.628099173553719,121
3787.43189552328,0.766666666666667,180
3811.98916449137,0.659863945578231,147
3838.48450587162,0.693693693693694,111
3861.61605229541,0.689922480620155,129
3888.49850478071,0.725806451612903,124
3913.22189072074,0.587628865979381,97
3937.26650691466,0.643564356435644,101
3960.45962513835,0.781818181818182,55
3986.86818492942,0.725,40
4015.51972483097,0.5,42
4037.35004021936,0.675,40
4060.69255193936,0.581395348837209,43
4087.25931814363,0.617647058823529,34
4112.3032199417,0.454545454545455,22
4176.82206428587,0.735576923076923,20
4292.48573224716,0.758522727272727,22
4376.80991307164,0.821969696969697,23
4487.07216284045,0.9,21
4876.61804063366,1,6
