"distance","probability","n"
14.6409057964559,0.779069767441861,172
35.6700658043554,0.677966101694915,118
63.5872571308147,0.672413793103448,116
87.8699854929888,0.675,120
113.608741560598,0.824817518248175,137
137.495127599347,0.741258741258741,143
162.534705428084,0.720496894409938,161
186.983507648534,0.716417910447761,134
213.190168335056,0.724719101123595,178
237.851115828534,0.757894736842105,190
263.860779677705,0.726315789473684,190
288.304094882162,0.815217391304348,184
312.184937722118,0.725581395348837,215
337.927806076023,0.74609375,256
362.746951239492,0.698461538461538,325
387.012514953377,0.805860805860806,273
412.237784316277,0.824503311258278,302
438.070868208184,0.814241486068111,323
462.179814356791,0.818181818181818,275
486.980085631007,0.738675958188153,287
512.530438513437,0.771341463414634,328
538.341668064293,0.786144578313253,332
561.317424822621,0.707831325301205,332
587.744556039992,0.812734082397004,267
613.171979917397,0.757475083056478,301
637.647003681926,0.753541076487252,353
663.04795345836,0.76063829787234,376
687.276737229553,0.783475783475784,351
712.122528837348,0.764890282131661,319
737.583528765157,0.822222222222222,270
762.550893139455,0.818731117824773,331
787.11780510785,0.785488958990536,317
813.760597382838,0.822368421052632,304
837.842707799865,0.802816901408451,355
861.917314082182,0.717948717948718,351
887.87768921931,0.720720720720721,333
912.127573621786,0.708571428571429,350
937.225209942295,0.801186943620178,337
962.045941807786,0.75561797752809,356
987.596480421238,0.730994152046784,342
1012.02497347765,0.616613418530351,313
1037.30198945954,0.730337078651685,356
1062.26063444146,0.709944751381215,362
1087.41334903285,0.666666666666667,375
1111.83003084378,0.750733137829912,341
1137.02562783715,0.707386363636364,352
1162.91653031637,0.737142857142857,350
1187.9461229884,0.774285714285714,350
1211.73696136469,0.778985507246377,276
1237.98120748381,0.732142857142857,224
1261.82870801376,0.77,300
1287.60152215445,0.697183098591549,284
1312.27300645026,0.696,250
1336.93825626547,0.676229508196721,244
1362.14063444804,0.682835820895522,268
1388.22699791225,0.721189591078067,269
1411.94480031926,0.690265486725664,226
1436.96768372713,0.706293706293706,286
1462.98018026282,0.712765957446808,282
1487.64429690429,0.749206349206349,315
1513.08014972439,0.73,300
1537.61348589368,0.667752442996743,307
1562.61255359443,0.724137931034483,290
1587.36109254539,0.735202492211838,321
1611.96294829503,0.778301886792453,212
1638.13262846625,0.734939759036145,249
1662.27615775291,0.648,250
1687.87292799349,0.56989247311828,186
1712.0875215077,0.722513089005236,191
1736.15306656385,0.670886075949367,158
1763.09166739221,0.648809523809524,168
1787.15031938165,0.644295302013423,149
1811.73343477877,0.641791044776119,134
1836.82831883468,0.614942528735632,174
1862.33877715897,0.705882352941177,170
1887.41534268052,0.64804469273743,179
1911.51601093496,0.597883597883598,189
1937.77757376078,0.702702702702703,148
1962.89496121954,0.63953488372093,172
1986.78927303791,0.63265306122449,147
2012.43127729351,0.619402985074627,134
2036.75102088714,0.596491228070175,114
2062.92336158101,0.659420289855073,138
2088.19008632144,0.723880597014925,134
2113.3386308864,0.675,120
2137.30821492106,0.662251655629139,151
2163.41566269327,0.553459119496855,159
2186.24173976494,0.677631578947368,152
2213.06143453904,0.717105263157895,152
2237.88627385076,0.705128205128205,156
2261.35399066867,0.766917293233083,133
2287.62115233356,0.579617834394904,157
2311.9325424666,0.633093525179856,139
2339.57645468225,0.708661417322835,127
2362.92087825709,0.805755395683453,139
2387.12220176907,0.746913580246914,162
2413.07032027167,0.6875,176
2437.06449149018,0.748936170212766,235
2461.09432805608,0.711409395973154,149
2486.95792255245,0.708860759493671,158
2512.70477970312,0.636942675159236,157
2537.33038503725,0.662337662337662,154
