"distance","probability","n"
14.3207745740425,0.473684210526316,114
36.123435183901,0.409638554216867,83
63.4457780874103,0.515789473684211,95
87.7937784104273,0.402061855670103,97
112.407616512284,0.479591836734694,98
137.722787177548,0.459016393442623,122
162.804504317811,0.519083969465649,131
186.701755600348,0.481132075471698,106
213.69131137104,0.457746478873239,142
237.610829173911,0.54014598540146,137
263.534820086291,0.509803921568627,153
288.407043431227,0.429577464788732,142
312.408724265693,0.450261780104712,191
337.984262138309,0.509009009009009,222
362.486343603394,0.471223021582734,278
386.804523240067,0.493562231759657,233
412.195359265516,0.501901140684411,263
438.034353884334,0.476014760147601,271
462.077300404142,0.557377049180328,244
487.339399802099,0.587591240875912,274
512.397624517294,0.501672240802676,299
538.402110706538,0.518518518518518,297
561.40949950898,0.493006993006993,286
587.879016620597,0.632,250
613.499595208739,0.514492753623188,276
637.9055580488,0.444816053511706,299
662.98040484961,0.512048192771084,332
687.261787617837,0.583586626139818,329
711.850181047547,0.546762589928058,278
738.267305660153,0.51219512195122,246
762.647424089987,0.540268456375839,298
787.150109477774,0.545774647887324,284
813.608214638072,0.537313432835821,268
837.945800701144,0.552469135802469,324
861.793727832364,0.49685534591195,318
888.108660351262,0.389776357827476,313
911.789931581077,0.440514469453376,311
937.501302133694,0.508591065292096,291
961.941087123873,0.523961661341853,313
987.583691661056,0.457516339869281,306
1012.15098533136,0.45583038869258,283
1037.44305678188,0.523219814241486,323
1062.23300589588,0.463722397476341,317
1087.26240906075,0.414925373134328,335
1112.02359592062,0.480392156862745,306
1137.23330471979,0.530351437699681,313
1162.50392365977,0.449838187702265,309
1187.90096256411,0.450657894736842,304
1211.62067864615,0.43579766536965,257
1238.24686074874,0.487046632124352,193
1261.68856195446,0.476923076923077,260
1287.5475924388,0.367088607594937,237
1312.39734294851,0.370892018779343,213
1336.85946650418,0.417840375586854,213
1362.23125495867,0.455357142857143,224
1388.31029839787,0.448979591836735,245
1412.36242812336,0.399103139013453,223
1436.96178535361,0.462450592885375,253
1462.73180291871,0.432098765432099,243
1488.1433857502,0.37542662116041,293
1512.85021626321,0.483394833948339,271
1537.34637921781,0.411111111111111,270
1562.46502426442,0.365145228215768,241
1587.3460717617,0.515679442508711,287
1611.95852913044,0.438502673796791,187
1637.95311223547,0.376068376068376,234
1662.23076736385,0.316239316239316,234
1687.77089495757,0.316129032258064,155
1712.73945195363,0.418181818181818,165
1736.52377412728,0.398648648648649,148
1762.61504705601,0.36,150
1787.13460018411,0.4,145
1811.61713451496,0.426086956521739,115
1836.33208154418,0.39375,160
1862.62806933449,0.36734693877551,147
1887.83861027023,0.422818791946309,149
1911.8686080935,0.375757575757576,165
1937.88807631185,0.358778625954198,131
1963.36269692152,0.352517985611511,139
1986.56668745016,0.371212121212121,132
2012.59981978229,0.435483870967742,124
2037.42988239249,0.313131313131313,99
2062.30151616405,0.28448275862069,116
2088.27252751478,0.36697247706422,109
2113.32373497141,0.288659793814433,97
2137.21811014328,0.382113821138211,123
2163.7104081127,0.233082706766917,133
2186.22726827399,0.396946564885496,131
2212.93224791239,0.37037037037037,135
2238.21421649805,0.353333333333333,150
2261.07138455365,0.491803278688525,122
2286.99256202504,0.321167883211679,137
2311.97134353316,0.367521367521368,117
2339.03129682954,0.404040404040404,99
2363.58024833614,0.481132075471698,106
2387.41472411978,0.352112676056338,142
2413.16469607001,0.38562091503268,153
2436.46497440475,0.422535211267606,213
2460.91730513701,0.457364341085271,129
2487.20107727708,0.331034482758621,145
2512.52972605022,0.453900709219858,141
2536.84998559167,0.397058823529412,136
2563.18960208253,0.378640776699029,103
2588.07393036881,0.357142857142857,126
2612.83517275148,0.419354838709677,124
2636.64342695254,0.382608695652174,115
2663.08258028797,0.420560747663551,107
2686.31286507425,0.5,112
2714.24694730942,0.439252336448598,107
2737.39029445044,0.373015873015873,126
2762.64189879775,0.464052287581699,153
2787.72699317693,0.377483443708609,151
2812.43811352247,0.444444444444444,108
2838.01266976681,0.354430379746835,79
2862.85830613032,0.345070422535211,142
2887.57720942419,0.4,140
2911.08615503518,0.32824427480916,131
2936.74020250069,0.408695652173913,115
2963.10164742025,0.353982300884956,113
2986.89336964452,0.410852713178295,129
3013.21495834238,0.461538461538462,117
3037.41775868363,0.345070422535211,142
3062.43603889614,0.3515625,128
3086.66764794985,0.320754716981132,106
3112.37377515505,0.330508474576271,118
3136.77105237601,0.353846153846154,130
3162.21636023639,0.333333333333333,117
3186.58558439571,0.371428571428571,105
3212.15591341443,0.358695652173913,92
3237.63659865824,0.471153846153846,104
3262.60920671544,0.4,150
3287.93556096725,0.383458646616541,133
3312.42281557485,0.363636363636364,121
3338.6811164188,0.469387755102041,98
3363.73788053834,0.473684210526316,114
3387.19124369105,0.416666666666667,168
3413.11722830655,0.328767123287671,146
3436.6283053776,0.427480916030534,131
3462.87501731688,0.453237410071942,139
3486.96485133547,0.339285714285714,112
3510.43652004144,0.34020618556701,97
3535.67087146881,0.373333333333333,75
3562.22244723433,0.318181818181818,66
3588.63797586105,0.310344827586207,87
3611.95312194043,0.344086021505376,93
3635.89389472832,0.3125,96
3663.26270208316,0.383928571428571,112
3686.54632262615,0.340425531914894,94
3712.64029198053,0.266666666666667,90
3738.52965380684,0.37,100
3762.22044226682,0.26,100
3787.9652541943,0.32258064516129,124
3812.75153418194,0.276190476190476,105
3837.66059592742,0.287671232876712,73
3861.73706419339,0.333333333333333,105
3888.6683130414,0.226190476190476,84
3914.18983829601,0.2,70
3937.54617791959,0.164383561643836,73
3960.95624060646,0.186046511627907,43
3988.4509899705,0.266666666666667,30
4016.42280871397,0.242424242424242,33
4036.56253052306,0.151515151515152,33
4062.15028765846,0.243243243243243,37
4087.01740248623,0.0740740740740741,27
4112.12613679396,0.0476190476190476,21
4186.67605851719,0,20
4327.4048777036,0,26
4402.05593839037,0,21
4710.80310790831,0,16
