"distance","probability","n"
14.8667535585265,0.303370786516854,89
36.545838944347,0.285714285714286,70
63.6828614060421,0.230769230769231,78
87.3791656039226,0.162162162162162,74
112.685160295494,0.228915662650602,83
137.766328349562,0.214285714285714,84
163.345460370813,0.16,100
185.917741734755,0.168674698795181,83
212.931521961069,0.135135135135135,111
237.119743824855,0.1875,128
263.465609033484,0.186991869918699,123
288.137617007988,0.171171171171171,111
311.799456908491,0.179310344827586,145
337.741011710928,0.15979381443299,194
362.462977956208,0.17351598173516,219
386.465374217491,0.210810810810811,185
412.192341499747,0.216748768472906,203
437.728517436771,0.20952380952381,210
462.308934583363,0.182741116751269,197
487.386002789162,0.211009174311927,218
512.272522217157,0.166666666666667,258
538.299631309111,0.152263374485597,243
561.212059192809,0.138392857142857,224
587.920326271485,0.168269230769231,208
613.270368881952,0.183760683760684,234
637.672689054884,0.159533073929961,257
663.167227844839,0.211920529801325,302
687.221819684092,0.116363636363636,275
711.741949838385,0.16017316017316,231
737.957164343017,0.180327868852459,183
762.549534000568,0.181818181818182,242
786.866320797704,0.170940170940171,234
813.800140306524,0.223744292237443,219
838.106647116157,0.206766917293233,266
862.00473594308,0.139097744360902,266
887.831496298221,0.214007782101167,257
911.599511596169,0.203065134099617,261
937.505612270771,0.17741935483871,248
961.856921847433,0.115671641791045,268
987.312799145762,0.163568773234201,269
1012.12309027092,0.192,250
1037.78920219626,0.159851301115242,269
1062.09400157507,0.161654135338346,266
1087.3654171584,0.158490566037736,265
1112.4327156729,0.184,250
1137.72748877025,0.162878787878788,264
1162.45954633803,0.179775280898876,267
1188.08314617363,0.215139442231076,251
1211.81939364749,0.216748768472906,203
1238.14706276,0.192307692307692,156
1261.60860237448,0.124463519313305,233
1287.54269259012,0.12621359223301,206
1312.62172455517,0.160919540229885,174
1337.11690420548,0.167597765363128,179
1362.52899420071,0.130890052356021,191
1388.22352746749,0.144186046511628,215
1412.33096105707,0.146341463414634,164
1436.91713880896,0.179245283018868,212
1462.61059776356,0.159420289855072,207
1488.39547450388,0.112676056338028,213
1513.12910676734,0.165178571428571,224
1537.77881830685,0.177777777777778,225
1562.46487292184,0.173267326732673,202
1587.98202105513,0.0995475113122172,221
1611.48488041774,0.0858895705521472,163
1638.14903577893,0.113513513513514,185
1662.38398620402,0.150537634408602,186
1687.28162558763,0.09375,128
1712.49651623778,0.165605095541401,157
1736.07483478212,0.146551724137931,116
1763.23269331718,0.101694915254237,118
1787.47982432807,0.155963302752294,109
1812.34135267858,0.225806451612903,93
1836.4002169448,0.133858267716535,127
1862.89758469025,0.104838709677419,124
1887.3421480532,0.134920634920635,126
1911.37008559681,0.201612903225806,124
1937.82698898565,0.087378640776699,103
1963.09272515161,0.165217391304348,115
1987.37047626335,0.122448979591837,98
2012.83546192516,0.0882352941176471,102
2037.84568690138,0.107142857142857,84
2062.3580153605,0.134831460674157,89
2089.01373223225,0.117647058823529,85
2113.17787929428,0.0952380952380952,84
2136.0396952078,0.178217821782178,101
2163.47583260499,0.148148148148148,108
2185.39806300541,0.205882352941176,102
2212.97411590974,0.141414141414141,99
2238.60248391165,0.188524590163934,122
2261.35767518084,0.166666666666667,102
2287.56213856928,0.117117117117117,111
2311.26429977673,0.12621359223301,103
2339.90150506057,0.127906976744186,86
2363.21618520607,0.227722772277228,101
2386.68950583548,0.178571428571429,112
2413.83218731387,0.130081300813008,123
2437.38228273863,0.107142857142857,196
2460.53836940868,0.073394495412844,109
2487.28430863901,0.152542372881356,118
2512.88871645954,0.154545454545455,110
2537.16811783387,0.0980392156862745,102
2562.98977669633,0.105882352941176,85
2587.63789257193,0.139784946236559,93
2613.30764494943,0.176470588235294,102
2636.96156136445,0.130434782608696,92
2662.52086991803,0.238636363636364,88
2686.34176303669,0.141176470588235,85
2714.39920623591,0.244444444444444,90
2737.9647768226,0.272727272727273,99
2763.13433370458,0.260869565217391,115
2788.08503443717,0.147540983606557,122
2813.12106035701,0.177215189873418,79
2838.16297409457,0.163934426229508,61
2862.98763900563,0.194690265486726,113
2887.72184362328,0.155172413793103,116
2910.88335760565,0.21,100
2936.3791804982,0.229357798165138,109
2962.94418165962,0.185567010309278,97
2986.7246860015,0.165217391304348,115
3012.73316059428,0.225490196078431,102
3037.47586552281,0.134920634920635,126
3062.52279466564,0.193877551020408,98
3087.07160485267,0.219512195121951,82
3111.87075798646,0.131868131868132,91
3136.19645754527,0.162162162162162,111
3161.17673346913,0.164835164835165,91
3187.18315246679,0.252873563218391,87
3212.85692089233,0.154929577464789,71
3237.51170966203,0.112359550561798,89
3262.83186296427,0.201612903225806,124
3287.81085279899,0.162162162162162,111
3312.37361306146,0.132075471698113,106
3338.37077799301,0.21875,96
3363.08827226183,0.153061224489796,98
3387.68221542992,0.144927536231884,138
3413.31025199293,0.0471698113207547,106
3436.30293531614,0.169642857142857,112
3462.38734088577,0.2,105
3487.43111770059,0.172043010752688,93
3509.79962227825,0.1125,80
3536.19957365842,0.0983606557377049,61
3562.68086056323,0.224137931034483,58
3588.99212645999,0.188405797101449,69
3612.62865626497,0.123076923076923,65
3634.76385355808,0.175675675675676,74
3662.46149317159,0.23943661971831,71
3686.81563452642,0.153846153846154,52
3712.90339222274,0.125,64
3738.58560262847,0.223684210526316,76
3761.86328481679,0.209876543209877,81
3787.83033261482,0.19047619047619,84
3811.74395595785,0.160493827160494,81
3837.62265739445,0.142857142857143,56
3862.52250633393,0.174418604651163,86
3888.74484087988,0.175,80
3913.01034424007,0.166666666666667,66
3938.19651547087,0.142857142857143,63
3962.61129717244,0.166666666666667,36
3986.93063498659,0.161290322580645,31
4014.70623645161,0.08,25
4036.34917203453,0.208333333333333,24
4060.81338392552,0.185185185185185,27
4087.28975858139,0.222222222222222,27
4123.82221949071,0,27
4248.49279197203,0.25,23
